Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,20,191,1,191,1,1,2021-01-02,191,SFOG1,UA,968,SFO,AMS,2023-04-17,14:35,G1,SFOG1,2021-01-02,1,171,0.89528796,1.0,1.0,0.89528796,1.0,1.0
Successful,Successful,,0,192,263,1,263,1,1,2021-01-02,263,SFOG2,UA,926,SFO,FRA,2023-04-23,19:10,G2,SFOG2,2021-01-02,1,71,0.26996198,1.0,1.0,0.26996198,1.0,1.0
Successful,Successful,,0,11,144,1,144,1,1,2021-01-02,144,SFOG3,UA,2139,SFO,LIR,2023-04-15,13:15,G3,SFOG3,2021-01-02,1,133,0.92361111,1.0,1.0,0.92361111,1.0,1.0
Successful,Successful,,0,43,249,1,249,1,1,2021-01-02,249,SFOG8,UA,194,SFO,MUC,2023-04-20,13:25,G8,SFOG8,2021-01-02,1,206,0.82730924,1.0,1.0,0.82730924,1.0,1.0
Successful,Successful,,0,19,331,1,331,1,1,2021-01-02,331,SFOG7,UA,869,SFO,HKG,2023-04-27,12:45,G7,SFOG7,2021-01-02,1,312,0.94259819,1.0,1.0,0.94259819,1.0,1.0
Successful,Successful,,0,7,151,1,151,1,1,2021-01-02,151,SFOG6,UA,968,SFO,AMS,2023-04-24,14:35,G6,SFOG6,2021-01-02,1,144,0.95364238,1.0,1.0,0.95364238,1.0,1.0
Successful,Successful,,0,38,262,1,262,1,1,2021-01-02,262,SFOG2,UA,926,SFO,FRA,2023-04-15,19:10,G2,SFOG2,2021-01-02,1,224,0.85496183,1.0,1.0,0.85496183,1.0,1.0
Successful,Successful,,0,36,331,1,331,1,1,2021-01-02,331,SFOG6,UA,869,SFO,HKG,2023-04-16,12:45,G6,SFOG6,2021-01-02,1,295,0.89123867,1.0,1.0,0.89123867,1.0,1.0
Successful,Successful,,0,24,219,1,219,1,1,2021-01-02,219,SFOG13,UA,893,SFO,ICN,2023-04-23,10:35,G13,SFOG13,2021-01-02,1,195,0.89041096,1.0,1.0,0.89041096,1.0,1.0
Successful,Successful,,0,19,245,1,245,1,1,2021-01-02,245,SFOG3,UA,893,SFO,ICN,2023-04-21,10:35,G3,SFOG3,2021-01-02,1,226,0.92244898,1.0,1.0,0.92244898,1.0,1.0
Successful,Successful,,0,113,340,1,340,1,1,2021-01-02,340,SFOG5,UA,954,SFO,TLV,2023-04-18,19:50,G5,SFOG5,2021-01-02,1,227,0.66764706,1.0,1.0,0.66764706,1.0,1.0
Successful,Successful,,0,22,219,1,219,1,1,2021-01-02,219,SFOG6,UA,35,SFO,KIX,2023-04-29,10:55,G6,SFOG6,2021-01-02,1,197,0.89954338,1.0,1.0,0.89954338,1.0,1.0
Successful,Successful,,0,20,321,1,321,1,1,2021-01-02,321,SFOG5,UA,869,SFO,HKG,2023-04-05,12:45,G5,SFOG5,2021-01-02,1,301,0.9376947,1.0,1.0,0.9376947,1.0,1.0
Successful,Successful,,0,18,233,1,233,1,1,2021-01-02,233,SFOG9,UA,901,SFO,LHR,2023-04-29,12:20,G9,SFOG9,2021-01-02,1,215,0.92274678,1.0,1.0,0.92274678,1.0,1.0
Successful,Successful,,0,11,143,1,143,1,1,2021-01-02,143,SFOG11,UA,460,SFO,YVR,2023-04-09,18:27,G11,SFOG11,2021-01-02,1,132,0.92307692,1.0,1.0,0.92307692,1.0,1.0
Successful,Successful,,0,91,229,1,229,1,1,2021-01-02,229,SFOG9,UA,926,SFO,FRA,2023-04-17,19:10,G9,SFOG9,2021-01-02,1,138,0.60262009,1.0,1.0,0.60262009,1.0,1.0
Successful,Successful,,0,15,326,1,326,1,1,2021-01-02,326,SFOG12,UA,869,SFO,HKG,2023-04-23,12:45,G12,SFOG12,2021-01-02,1,311,0.95398773,1.0,1.0,0.95398773,1.0,1.0
Successful,Successful,,0,111,113,1,113,1,1,2021-01-02,113,SFOG10,UA,60,SFO,MEL,2023-04-17,23:20,G10,SFOG10,2021-01-02,1,2,0.01769912,1.0,1.0,0.01769912,1.0,1.0
Successful,Successful,,0,27,192,1,192,1,1,2021-01-02,192,SFOG6,UA,58,SFO,FRA,2023-04-11,13:50,G6,SFOG6,2021-01-02,1,165,0.859375,1.0,1.0,0.859375,1.0,1.0
Successful,Successful,,0,30,219,1,219,1,1,2021-01-02,219,SFOG4,UA,990,SFO,CDG,2023-04-26,14:35,G4,SFOG4,2021-01-02,1,189,0.8630137,1.0,1.0,0.8630137,1.0,1.0
Successful,Successful,,0,69,244,1,244,1,1,2021-01-02,244,SFOG5,UA,60,SFO,MEL,2023-04-22,23:20,G5,SFOG5,2021-01-02,1,175,0.71721311,1.0,1.0,0.71721311,1.0,1.0
Successful,Successful,,0,-7,0,1,0,1,1,2021-01-02,0,SFOG10,UA,871,SFO,TPE,2023-04-09,14:00,G10,SFOG10,2021-01-02,1,7,,1.0,1.0,,,1.0
Successful,Successful,,0,285,349,1,349,1,1,2021-01-02,349,SFOG7,UA,871,SFO,TPE,2023-04-02,14:00,G7,SFOG7,2021-01-02,1,64,0.18338109,1.0,1.0,0.18338109,1.0,1.0
Successful,Successful,,0,8,124,1,124,1,1,2021-01-02,124,SFOG13,UA,901,SFO,LHR,2023-04-05,12:20,G13,SFOG13,2021-01-02,1,116,0.93548387,1.0,1.0,0.93548387,1.0,1.0
Unsuccessful,,Unsuccessful,1,0,0,1,0,1,1,2021-01-02,0,SFOG12,UA,2769,SFO,GUM,2023-04-02,09:00,G12,SFOG12,2021-01-02,0,0,,1.0,0.0,,,0.0
Successful,Successful,,0,72,272,1,272,1,1,2021-01-02,272,SFOG10,UA,926,SFO,FRA,2023-04-14,19:10,G10,SFOG10,2021-01-02,1,200,0.73529412,1.0,1.0,0.73529412,1.0,1.0
Successful,Successful,,0,33,349,1,349,1,1,2021-01-02,349,SFOG12,UA,869,SFO,HKG,2023-04-02,12:45,G12,SFOG12,2021-01-02,1,316,0.90544413,1.0,1.0,0.90544413,1.0,1.0
Successful,Successful,,0,19,211,1,211,1,1,2021-01-02,211,SFOG6,UA,893,SFO,ICN,2023-04-13,10:35,G6,SFOG6,2021-01-02,1,192,0.90995261,1.0,1.0,0.90995261,1.0,1.0
Successful,Successful,,0,7,186,1,186,1,1,2021-01-02,186,SFOG3,UA,1,SFO,SIN,2023-04-20,22:45,G3,SFOG3,2021-01-02,1,179,0.96236559,1.0,1.0,0.96236559,1.0,1.0
Successful,Successful,,0,21,139,1,139,1,1,2021-01-02,139,SFOG4,UA,194,SFO,MUC,2023-04-04,13:25,G4,SFOG4,2021-01-02,1,118,0.84892086,1.0,1.0,0.84892086,1.0,1.0
Successful,Successful,,0,51,219,1,219,1,1,2021-01-02,219,SFOG1,UA,60,SFO,MEL,2023-04-28,23:20,G1,SFOG1,2021-01-02,1,168,0.76712329,1.0,1.0,0.76712329,1.0,1.0
Successful,Successful,,0,16,222,1,222,1,1,2021-01-02,222,SFOG7,UA,29,SFO,SIN,2023-04-08,10:50,G7,SFOG7,2021-01-02,1,206,0.92792793,1.0,1.0,0.92792793,1.0,1.0
Successful,Successful,,0,69,192,1,192,1,1,2021-01-02,192,SFOG12,UA,60,SFO,MEL,2023-04-20,23:20,G12,SFOG12,2021-01-02,1,123,0.640625,1.0,1.0,0.640625,1.0,1.0
Successful,Successful,,0,20,253,1,253,1,1,2021-01-02,253,SFOG4,UA,926,SFO,FRA,2023-04-07,19:10,G4,SFOG4,2021-01-02,1,233,0.92094862,1.0,1.0,0.92094862,1.0,1.0
Unsuccessful,,Unsuccessful,1,125,125,1,125,1,1,2021-01-02,125,SFOG3,UA,2051,SFO,YVR,2023-04-08,10:40,G3,SFOG3,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,47,248,1,248,1,1,2021-01-02,248,SFOG10,UA,930,SFO,LHR,2023-04-07,19:50,G10,SFOG10,2021-01-02,1,201,0.81048387,1.0,1.0,0.81048387,1.0,1.0
Unsuccessful,,Unsuccessful,1,155,155,1,155,1,1,2021-01-02,155,SFOG3,UA,1679,SFO,CUN,2023-04-24,08:45,G3,SFOG3,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Unsuccessful,,Unsuccessful,1,173,173,1,173,1,1,2021-01-02,173,SFOG2,UA,1145,SFO,CUN,2023-04-19,23:16,G2,SFOG2,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,80,245,1,245,1,1,2021-01-02,245,SFOG6,UA,990,SFO,CDG,2023-04-06,14:35,G6,SFOG6,2021-01-02,1,165,0.67346939,1.0,1.0,0.67346939,1.0,1.0
Successful,Successful,,0,53,154,1,154,1,1,2021-01-02,154,SFOG3,UA,60,SFO,MEL,2023-04-11,23:20,G3,SFOG3,2021-01-02,1,101,0.65584416,1.0,1.0,0.65584416,1.0,1.0
Unsuccessful,,Unsuccessful,1,187,187,1,187,1,1,2021-01-02,187,SFOG1,UA,968,SFO,AMS,2023-04-06,14:35,G1,SFOG1,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,30,303,1,303,1,1,2021-01-02,303,SFOG12,UA,869,SFO,HKG,2023-04-04,12:45,G12,SFOG12,2021-01-02,1,273,0.9009901,1.0,1.0,0.9009901,1.0,1.0
Successful,Successful,,0,13,200,1,200,1,1,2021-01-02,200,SFOG4,UA,968,SFO,AMS,2023-04-18,14:35,G4,SFOG4,2021-01-02,1,187,0.935,1.0,1.0,0.935,1.0,1.0
Successful,Successful,,0,150,283,1,283,1,1,2021-01-02,283,SFOG5,UA,954,SFO,TLV,2023-04-24,21:15,G5,SFOG5,2021-01-02,1,133,0.46996466,1.0,1.0,0.46996466,1.0,1.0
Successful,Successful,,0,13,271,1,271,1,1,2021-01-02,271,SFOG13,UA,837,SFO,NRT,2023-04-08,11:35,G13,SFOG13,2021-01-02,1,258,0.95202952,1.0,1.0,0.95202952,1.0,1.0
Successful,Successful,,0,62,272,1,272,1,1,2021-01-02,272,SFOG1,UA,926,SFO,FRA,2023-04-20,19:10,G1,SFOG1,2021-01-02,1,210,0.77205882,1.0,1.0,0.77205882,1.0,1.0
Successful,Successful,,0,20,166,1,166,1,1,2021-01-02,166,SFOG12,UA,968,SFO,AMS,2023-04-12,14:35,G12,SFOG12,2021-01-02,1,146,0.87951807,1.0,1.0,0.87951807,1.0,1.0
Successful,Successful,,0,21,220,1,220,1,1,2021-01-02,220,SFOG10,UA,968,SFO,AMS,2023-04-20,14:35,G10,SFOG10,2021-01-02,1,199,0.90454545,1.0,1.0,0.90454545,1.0,1.0
Successful,Successful,,0,16,323,1,323,1,1,2021-01-02,323,SFOG5,UA,954,SFO,TLV,2023-04-27,19:50,G5,SFOG5,2021-01-02,1,307,0.9504644,1.0,1.0,0.9504644,1.0,1.0
Successful,Successful,,0,48,348,1,348,1,1,2021-01-02,348,SFOG12,UA,871,SFO,TPE,2023-04-07,14:00,G12,SFOG12,2021-01-02,1,300,0.86206897,1.0,1.0,0.86206897,1.0,1.0
Unsuccessful,,Unsuccessful,1,129,129,1,129,1,1,2021-01-02,129,SFOG3,UA,460,SFO,YVR,2023-04-26,18:27,G3,SFOG3,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,27,340,1,340,1,1,2021-01-02,340,SFOG6,UA,857,SFO,PVG,2023-04-12,12:55,G6,SFOG6,2021-01-02,1,313,0.92058824,1.0,1.0,0.92058824,1.0,1.0
Successful,Successful,,0,23,195,1,195,1,1,2021-01-02,195,SFOG5,UA,948,SFO,LHR,2023-04-22,16:00,G5,SFOG5,2021-01-02,1,172,0.88205128,1.0,1.0,0.88205128,1.0,1.0
Successful,Successful,,0,25,322,1,322,1,1,2021-01-02,322,SFOG9,UA,869,SFO,HKG,2023-04-06,12:45,G9,SFOG9,2021-01-02,1,297,0.92236025,1.0,1.0,0.92236025,1.0,1.0
Successful,Successful,,0,32,342,1,342,1,1,2021-01-02,342,SFOG10,UA,857,SFO,PVG,2023-04-21,12:55,G10,SFOG10,2021-01-02,1,310,0.90643275,1.0,1.0,0.90643275,1.0,1.0
Successful,Successful,,0,-294,0,1,0,1,1,2021-01-02,0,SFOG7,UA,58,SFO,FRA,2023-04-28,13:50,G7,SFOG7,2021-01-02,1,294,,1.0,1.0,,,1.0
Successful,Successful,,0,51,303,1,303,1,1,2021-01-02,303,SFOG5,UA,954,SFO,TLV,2023-04-29,19:50,G5,SFOG5,2021-01-02,1,252,0.83168317,1.0,1.0,0.83168317,1.0,1.0
Successful,Successful,,0,25,253,1,253,1,1,2021-01-02,253,SFOG5,UA,115,SFO,PPT,2023-04-08,13:20,G5,SFOG5,2021-01-02,1,228,0.90118577,1.0,1.0,0.90118577,1.0,1.0
Successful,Successful,,0,14,211,1,211,1,1,2021-01-02,211,SFOG4,UA,1,SFO,SIN,2023-04-05,22:45,G4,SFOG4,2021-01-02,1,197,0.93364929,1.0,1.0,0.93364929,1.0,1.0
Successful,Successful,,0,22,180,1,180,1,1,2021-01-02,180,SFOG3,UA,926,SFO,FRA,2023-04-05,19:10,G3,SFOG3,2021-01-02,1,158,0.87777778,1.0,1.0,0.87777778,1.0,1.0
Successful,Successful,,0,27,174,1,174,1,1,2021-01-02,174,SFOG1,UA,901,SFO,LHR,2023-04-11,12:20,G1,SFOG1,2021-01-02,1,147,0.84482759,1.0,1.0,0.84482759,1.0,1.0
Successful,Successful,,0,27,330,1,330,1,1,2021-01-02,330,SFOG12,UA,857,SFO,PVG,2023-04-08,12:55,G12,SFOG12,2021-01-02,1,303,0.91818182,1.0,1.0,0.91818182,1.0,1.0
Successful,Successful,,0,67,236,1,236,1,1,2021-01-02,236,SFOG1,UA,60,SFO,MEL,2023-04-21,23:20,G1,SFOG1,2021-01-02,1,169,0.71610169,1.0,1.0,0.71610169,1.0,1.0
Successful,Successful,,0,35,235,1,235,1,1,2021-01-02,235,SFOG2,UA,930,SFO,LHR,2023-04-13,19:50,G2,SFOG2,2021-01-02,1,200,0.85106383,1.0,1.0,0.85106383,1.0,1.0
Successful,Successful,,0,37,156,1,156,1,1,2021-01-02,156,SFOG13,UA,930,SFO,LHR,2023-04-29,19:50,G13,SFOG13,2021-01-02,1,119,0.76282051,1.0,1.0,0.76282051,1.0,1.0
Successful,Successful,,0,9,148,1,148,1,1,2021-01-02,148,SFOG10,UA,29,SFO,SIN,2023-04-18,10:50,G10,SFOG10,2021-01-02,1,139,0.93918919,1.0,1.0,0.93918919,1.0,1.0
Successful,Successful,,0,36,273,1,273,1,1,2021-01-02,273,SFOG5,UA,901,SFO,LHR,2023-04-16,12:20,G5,SFOG5,2021-01-02,1,237,0.86813187,1.0,1.0,0.86813187,1.0,1.0
Successful,Successful,,0,25,274,1,274,1,1,2021-01-02,274,SFOG4,UA,875,SFO,HND,2023-04-06,10:45,G4,SFOG4,2021-01-02,1,249,0.90875912,1.0,1.0,0.90875912,1.0,1.0
Successful,Successful,,0,66,267,1,267,1,1,2021-01-02,267,SFOG13,UA,837,SFO,NRT,2023-04-09,11:35,G13,SFOG13,2021-01-02,1,201,0.75280899,1.0,1.0,0.75280899,1.0,1.0
Successful,Successful,,0,13,327,1,327,1,1,2021-01-02,327,SFOG12,UA,871,SFO,TPE,2023-04-21,14:00,G12,SFOG12,2021-01-02,1,314,0.96024465,1.0,1.0,0.96024465,1.0,1.0
Successful,Successful,,0,106,212,1,212,1,1,2021-01-02,212,SFOG1,UA,948,SFO,LHR,2023-04-08,16:00,G1,SFOG1,2021-01-02,1,106,0.5,1.0,1.0,0.5,1.0,1.0
Successful,Successful,,0,39,336,1,336,1,1,2021-01-02,336,SFOG9,UA,857,SFO,PVG,2023-04-05,12:55,G9,SFOG9,2021-01-02,1,297,0.88392857,1.0,1.0,0.88392857,1.0,1.0
Successful,Successful,,0,27,205,1,205,1,1,2021-01-02,205,SFOG4,UA,930,SFO,LHR,2023-04-05,19:50,G4,SFOG4,2021-01-02,1,178,0.86829268,1.0,1.0,0.86829268,1.0,1.0
Successful,Successful,,0,47,270,1,270,1,1,2021-01-02,270,SFOG3,UA,194,SFO,MUC,2023-04-21,13:25,G3,SFOG3,2021-01-02,1,223,0.82592593,1.0,1.0,0.82592593,1.0,1.0
Successful,Successful,,0,33,218,1,218,1,1,2021-01-02,218,SFOG2,UA,930,SFO,LHR,2023-04-22,19:50,G2,SFOG2,2021-01-02,1,185,0.84862385,1.0,1.0,0.84862385,1.0,1.0
Successful,Successful,,0,5,165,1,165,1,1,2021-01-02,165,SFOG8,UA,901,SFO,LHR,2023-04-23,12:20,G8,SFOG8,2021-01-02,1,160,0.96969697,1.0,1.0,0.96969697,1.0,1.0
Successful,Successful,,0,15,243,1,243,1,1,2021-01-02,243,SFOG5,UA,893,SFO,ICN,2023-04-20,10:35,G5,SFOG5,2021-01-02,1,228,0.9382716,1.0,1.0,0.9382716,1.0,1.0
Successful,Successful,,0,117,245,1,245,1,1,2021-01-02,245,SFOG1,UA,837,SFO,NRT,2023-04-29,11:35,G1,SFOG1,2021-01-02,1,128,0.52244898,1.0,1.0,0.52244898,1.0,1.0
Successful,Successful,,0,221,223,1,223,1,1,2021-01-02,223,SFOG13,UA,1,SFO,SIN,2023-04-02,22:45,G13,SFOG13,2021-01-02,1,2,0.00896861,1.0,1.0,0.00896861,1.0,1.0
Successful,Successful,,0,46,191,1,191,1,1,2021-01-02,191,SFOG9,UA,60,SFO,MEL,2023-04-16,23:20,G9,SFOG9,2021-01-02,1,145,0.7591623,1.0,1.0,0.7591623,1.0,1.0
Successful,Successful,,0,22,203,1,203,1,1,2021-01-02,203,SFOG10,UA,29,SFO,SIN,2023-04-23,10:50,G10,SFOG10,2021-01-02,1,181,0.89162562,1.0,1.0,0.89162562,1.0,1.0
Unsuccessful,,Unsuccessful,1,178,178,1,178,1,1,2021-01-02,178,SFOG7,UA,96,SFO,BNE,2023-04-28,23:55,G7,SFOG7,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,0,163,1,163,1,1,2021-01-02,163,SFOG10,UA,60,SFO,MEL,2023-04-15,23:20,G10,SFOG10,2021-01-02,1,163,1.0,1.0,1.0,1.0,1.0,1.0
Successful,Successful,,0,7,169,1,169,1,1,2021-01-02,169,SFOG5,UA,837,SFO,NRT,2023-04-27,11:35,G5,SFOG5,2021-01-02,1,162,0.95857988,1.0,1.0,0.95857988,1.0,1.0
Successful,Successful,,0,17,94,1,94,1,1,2021-01-02,94,SFOG7,UA,948,SFO,LHR,2023-04-04,16:00,G7,SFOG7,2021-01-02,1,77,0.81914894,1.0,1.0,0.81914894,1.0,1.0
Unsuccessful,,Unsuccessful,1,178,178,1,178,1,1,2021-01-02,178,SFOG3,UA,917,SFO,AKL,2023-04-13,23:00,G3,SFOG3,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,34,345,1,345,1,1,2021-01-02,345,SFOG9,UA,869,SFO,HKG,2023-04-12,12:45,G9,SFOG9,2021-01-02,1,311,0.90144928,1.0,1.0,0.90144928,1.0,1.0
Successful,Successful,,0,-50,159,1,159,1,1,2021-01-02,159,SFOG3,UA,1,SFO,SIN,2023-04-16,22:45,G3,SFOG3,2021-01-02,1,209,1.31446541,1.0,1.0,1.31446541,1.0,1.0
Successful,Successful,,0,31,237,1,237,1,1,2021-01-02,237,SFOG2,UA,948,SFO,LHR,2023-04-13,16:00,G2,SFOG2,2021-01-02,1,206,0.86919831,1.0,1.0,0.86919831,1.0,1.0
Successful,Successful,,0,10,248,1,248,1,1,2021-01-02,248,SFOG2,UA,990,SFO,CDG,2023-04-14,14:35,G2,SFOG2,2021-01-02,1,238,0.95967742,1.0,1.0,0.95967742,1.0,1.0
Successful,Successful,,0,15,340,1,340,1,1,2021-01-02,340,SFOG12,UA,871,SFO,TPE,2023-04-03,14:00,G12,SFOG12,2021-01-02,1,325,0.95588235,1.0,1.0,0.95588235,1.0,1.0
Successful,Successful,,0,59,219,1,219,1,1,2021-01-02,219,SFOG12,UA,194,SFO,MUC,2023-04-19,13:25,G12,SFOG12,2021-01-02,1,160,0.73059361,1.0,1.0,0.73059361,1.0,1.0
Successful,Successful,,0,68,230,1,230,1,1,2021-01-02,230,SFOG9,UA,1,SFO,SIN,2023-04-13,22:45,G9,SFOG9,2021-01-02,1,162,0.70434783,1.0,1.0,0.70434783,1.0,1.0
Successful,Successful,,0,36,345,1,345,1,1,2021-01-02,345,SFOG9,UA,869,SFO,HKG,2023-04-19,12:45,G9,SFOG9,2021-01-02,1,309,0.89565217,1.0,1.0,0.89565217,1.0,1.0
Successful,Successful,,0,54,275,1,275,1,1,2021-01-02,275,SFOG6,UA,948,SFO,LHR,2023-04-16,16:00,G6,SFOG6,2021-01-02,1,221,0.80363636,1.0,1.0,0.80363636,1.0,1.0
Successful,Successful,,0,14,127,1,127,1,1,2021-01-02,127,SFOG3,UA,115,SFO,PPT,2023-04-29,13:20,G3,SFOG3,2021-01-02,1,113,0.88976378,1.0,1.0,0.88976378,1.0,1.0
Successful,Successful,,0,142,328,1,328,1,1,2021-01-02,328,SFOG5,UA,954,SFO,TLV,2023-04-17,19:50,G5,SFOG5,2021-01-02,1,186,0.56707317,1.0,1.0,0.56707317,1.0,1.0
