Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,25,168,1,168,1,1,2021-01-02,168,SFOG3,UA,968,SFO,AMS,2023-04-23,14:35,G3,SFOG3,2021-01-02,1,143,0.85119048,1.0,1.0,0.85119048,1.0,1.0
Successful,Successful,,0,15,150,1,150,1,1,2021-01-02,150,SFOG9,UA,1212,SFO,PVR,2023-04-07,08:40,G9,SFOG9,2021-01-02,1,135,0.9,1.0,1.0,0.9,1.0,1.0
Successful,Successful,,0,13,113,1,113,1,1,2021-01-02,113,SFOG1,UA,930,SFO,LHR,2023-04-02,19:50,G1,SFOG1,2021-01-02,1,100,0.88495575,1.0,1.0,0.88495575,1.0,1.0
Successful,Successful,,0,16,244,1,244,1,1,2021-01-02,244,SFOG6,UA,893,SFO,ICN,2023-04-09,10:35,G6,SFOG6,2021-01-02,1,228,0.93442623,1.0,1.0,0.93442623,1.0,1.0
Successful,Successful,,0,18,200,1,200,1,1,2021-01-02,200,SFOG6,UA,968,SFO,AMS,2023-04-28,14:50,G6,SFOG6,2021-01-02,1,182,0.91,1.0,1.0,0.91,1.0,1.0
Successful,Successful,,0,54,245,1,245,1,1,2021-01-02,245,SFOG1,UA,926,SFO,FRA,2023-04-18,19:10,G1,SFOG1,2021-01-02,1,191,0.77959184,1.0,1.0,0.77959184,1.0,1.0
Successful,Successful,,0,27,250,1,250,1,1,2021-01-02,250,SFOG12,UA,35,SFO,KIX,2023-04-10,10:45,G12,SFOG12,2021-01-02,1,223,0.892,1.0,1.0,0.892,1.0,1.0
Successful,Successful,,0,20,144,1,144,1,1,2021-01-02,144,SFOG12,UA,460,SFO,YVR,2023-04-29,18:27,G12,SFOG12,2021-01-02,1,124,0.86111111,1.0,1.0,0.86111111,1.0,1.0
Successful,Successful,,0,13,227,1,227,1,1,2021-01-02,227,SFOG10,UA,875,SFO,HND,2023-04-22,10:45,G10,SFOG10,2021-01-02,1,214,0.94273128,1.0,1.0,0.94273128,1.0,1.0
Successful,Successful,,0,26,210,1,210,1,1,2021-01-02,210,SFOG4,UA,1,SFO,SIN,2023-04-25,22:45,G4,SFOG4,2021-01-02,1,184,0.87619048,1.0,1.0,0.87619048,1.0,1.0
